Sim 2

Light Normalized Radiosity: 91.86454%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 6.93569%
Light Transmittance: 1.19977%
Stokes Shift Absorptance (converted to heat): 0.58305%
Quantum Yield Absorptance (converted to heat): 0.89127%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 4.45568%
Fluorescent Absorptance (converted to fluorescent emission): 2.98163%
Reflectance by Fluorescent Emission: 2.89266%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5.46199%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
525.0	1.1948	0.0038	0.0142	0.0	0.0	0.0	0.2089	0.0	0.0038	1.495915	0.0	1e-06	0.0	2.001268	0.68447482	500.0	0.0	
527.0	1.1951	0.0031	0.0123	0.0	0.0	0.0	0.2073	0.0	0.0031	1.495837	0.0	1e-06	0.0	2.020766	0.68800387	500.0	0.0	
529.0	1.1763	0.002	0.0119	0.0	0.0	0.0	0.188	0.0	0.002	1.495763	0.0	1e-06	0.0	2.041775	0.69071939	500.0	0.0	
531.0	1.1585	0.0032	0.0118	0.0	0.0	0.0	0.1705	0.0	0.0032	1.49569	0.0	1e-06	0.0	2.061575	0.69329413	500.0	0.0	
533.0	1.1548	0.0023	0.0123	0.0	0.0	0.0	0.1665	0.0	0.0023	1.495617	0.0	1e-06	0.0	2.081154	0.69572086	500.0	0.0	
535.0	1.1455	0.002	0.0137	0.0	0.0	0.0	0.1585	0.0	0.002	1.495544	0.0	1e-06	0.0	2.101587	0.6973826	500.0	0.0	
537.0	1.1362	0.0015	0.0129	0.0	0.0	0.0	0.1486	0.0	0.0015	1.49547	0.0	1e-06	0.0	2.120681	0.6990261	500.0	0.0	
539.0	1.1219	0.0023	0.014	0.0	0.0	0.0	0.1353	0.0	0.0023	1.495397	0.0	1e-06	0.0	2.139968	0.70031715	500.0	0.0	
541.0	1.1089	0.0011	0.0118	0.0	0.0	0.0	0.1196	0.0	0.0011	1.495324	0.0	1e-06	0.0	2.158901	0.70116729	500.0	0.0	
543.0	1.1004	0.0011	0.0124	0.0	0.0	0.0	0.1124	0.0	0.0011	1.495251	0.0	0.0	0.0	2.176616	0.70193869	500.0	0.0	
545.0	1.0871	0.001	0.012	0.0	0.0	0.0	0.0988	0.0	0.001	1.495178	0.0	0.0	0.0	2.194214	0.70237792	500.0	0.0	
547.0	1.0794	0.0008	0.0107	0.0	0.0	0.0	0.0895	0.0	0.0008	1.495104	0.0	0.0	0.0	2.210781	0.70249488	500.0	0.0	
549.0	1.074	0.0007	0.0114	0.0	0.0	0.0	0.0848	0.0	0.0007	1.495031	0.0	0.0	0.0	2.225674	0.70258122	500.0	0.0	
551.0	1.0611	0.0006	0.0114	0.0	0.0	0.0	0.0719	0.0	0.0006	1.494958	0.0	0.0	0.0	2.240165	0.70230816	500.0	0.0	
553.0	1.0579	0.0011	0.0094	0.0	0.0	0.0	0.0675	0.0	0.0011	1.494885	0.0	0.0	0.0	2.252948	0.70177659	500.0	0.0	
555.0	1.0481	0.0004	0.0108	0.0	0.0	0.0	0.0581	0.0	0.0004	1.494812	0.0	0.0	0.0	2.263372	0.70127784	500.0	0.0	
557.0	1.0396	0.0011	0.0113	0.0	0.0	0.0	0.0512	0.0	0.0011	1.494738	0.0	0.0	0.0	2.272954	0.70039691	500.0	0.0	
559.0	1.0378	0.0007	0.0097	0.0	0.0	0.0	0.0474	0.0	0.0007	1.494665	0.0	0.0	0.0	2.280148	0.69930847	500.0	0.0	
561.0	1.0335	0.0006	0.0086	0.0	0.0	0.0	0.042	0.0	0.0006	1.494592	0.0	0.0	0.0	2.284338	0.6982821	500.0	0.0	
563.0	1.028	0.0009	0.0089	0.0	0.0	0.0	0.0371	0.0	0.0009	1.494519	0.0	0.0	0.0	2.287137	0.69691051	500.0	0.0	
565.0	1.0243	0.0008	0.0099	0.0	0.0	0.0	0.0344	0.0	0.0008	1.494446	0.0	0.0	0.0	2.287086	0.69536599	500.0	0.0	
