Sim 1

Light Normalized Radiosity: 91.40887%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 8.17494%
Light Transmittance: 0.41619%
Stokes Shift Absorptance (converted to heat): 2.68229%
Quantum Yield Absorptance (converted to heat): 5.49253%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 21.30917%
Fluorescent Absorptance (converted to fluorescent emission): 13.36323%
Reflectance by Fluorescent Emission: 10.75672%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 0.00012%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
730.0	0.9936	0.0	0.0064	0.0	0.0	0.0	0.0	0.0	0.0	1.491125	0.0	0.0	0.0	3.000123	0.72153771	500.0	0.0	0.0	
735.0	0.9922	0.0	0.0078	0.0	0.0	0.0	0.0	0.0	0.0	1.491047	0.0	0.0	0.0	2.958661	0.7192924	500.0	0.0	0.0	
740.0	0.9912	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	1.49097	0.0	0.0	0.0	2.915725	0.71763631	500.0	0.0	0.0	
745.0	0.9928	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.0	1.490908	0.0	0.0	0.0	2.874704	0.71591799	500.0	0.0	0.0	
750.0	0.9916	0.0	0.0084	0.0	0.0	0.0	0.0	0.0	0.0	1.490848	0.0	0.0	0.0	2.832708	0.71459751	500.0	0.0	0.0	
755.0	0.9926	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	1.490798	0.0	0.0	0.0	2.793736	0.71309524	500.0	0.0	0.0	
760.0	0.9927	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	1.490753	0.0	0.0	0.0	2.752448	0.71194001	500.0	0.0	0.0	
765.0	0.9924	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	0.0	1.490707	0.0	0.0	0.0	2.713478	0.71095268	500.0	0.0	0.0	
770.0	0.9937	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	1.490661	0.0	0.0	0.0	2.672797	0.71001954	500.0	0.0	0.0	
775.0	0.9909	0.0	0.0091	0.0	0.0	0.0	0.0	0.0	0.0	1.490615	0.0	0.0	0.0	2.635036	0.70924475	500.0	0.0	0.0	
780.0	0.991	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	1.49057	0.0	0.0	0.0	2.596022	0.70829757	500.0	0.0	0.0	
785.0	0.9919	0.0	0.0081	0.0	0.0	0.0	0.0	0.0	0.0	1.490524	0.0	0.0	0.0	2.557612	0.70784032	500.0	0.0	0.0	
790.0	0.9911	0.0	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	1.490478	0.0	0.0	0.0	2.520407	0.70698871	500.0	0.0	0.0	
795.0	0.9913	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	1.490433	0.0	0.0	0.0	2.482544	0.70638058	500.0	0.0	0.0	
800.0	0.9892	0.0	0.0108	0.0	0.0	0.0	0.0	0.0	0.0	1.490387	0.0	0.0	0.0	2.444641	0.70628816	500.0	0.0	0.0	
805.0	0.9922	0.0	0.0078	0.0	0.0	0.0	0.0	0.0	0.0	1.490341	0.0	0.0	0.0	2.406107	0.70579257	500.0	0.0	0.0	
810.0	0.9914	0.0	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	1.490295	0.0	0.0	0.0	2.36934	0.70555914	500.0	0.0	0.0	
815.0	0.9898	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	1.49025	0.0	0.0	0.0	2.332374	0.70503813	500.0	0.0	0.0	
820.0	0.9882	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	1.490204	0.0	0.0	0.0	2.295371	0.70484027	500.0	0.0	0.0	
825.0	0.991	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	1.490158	0.0	0.0	0.0	2.260201	0.70435235	500.0	0.0	0.0	
830.0	0.9908	0.0	0.0092	0.0	0.0	0.0	0.0	0.0	0.0	1.490112	0.0	0.0	0.0	2.223166	0.70384887	500.0	0.0	0.0	
835.0	0.9883	0.0	0.0117	0.0	0.0	0.0	0.0	0.0	0.0	1.490067	0.0	0.0	0.0	2.187532	0.70361122	500.0	0.0	0.0	
840.0	0.9899	0.0	0.0101	0.0	0.0	0.0	0.0	0.0	0.0	1.490028	0.0	0.0	0.0	2.152577	0.70292157	500.0	0.0	0.0	
845.0	0.9902	0.0	0.0098	0.0	0.0	0.0	0.0	0.0	0.0	1.490014	0.0	0.0	0.0	2.116676	0.70251756	500.0	0.0	0.0	
850.0	0.9905	0.0	0.0095	0.0	0.0	0.0	0.0	0.0	0.0	1.489999	0.0	0.0	0.0	2.082495	0.70210504	500.0	0.0	0.0	
855.0	0.9897	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	1.489967	0.0	0.0	0.0	2.04785	0.70124904	500.0	0.0	0.0	
860.0	0.9903	0.0	0.0097	0.0	0.0	0.0	0.0	0.0	0.0	1.489936	0.0	0.0	0.0	2.013455	0.70068645	500.0	0.0	0.0	
865.0	0.9904	0.0	0.0096	0.0	0.0	0.0	0.0	0.0	0.0	1.489892	0.0	0.0	0.0	1.980908	0.69992772	500.0	0.0	0.0	
870.0	0.9893	0.0	0.0107	0.0	0.0	0.0	0.0	0.0	0.0	1.489846	0.0	0.0	0.0	1.947306	0.69905665	500.0	0.0	0.0	
875.0	0.9884	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	1.489822	0.0	0.0	0.0	1.915091	0.69827714	500.0	0.0	0.0	
880.0	0.9895	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.0	1.489807	0.0	0.0	0.0	1.88546	0.69663086	500.0	0.0	0.0	
885.0	0.9897	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	1.489785	0.0	0.0	0.0	1.852356	0.6957371	500.0	0.0	0.0	
890.0	0.9869	0.0	0.0131	0.0	0.0	0.0	0.0	0.0	0.0	1.489753	0.0	0.0	0.0	1.821023	0.69481869	500.0	0.0	0.0	
895.0	0.989	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	1.489727	0.0	0.0	0.0	1.793057	0.69279618	500.0	0.0	0.0	
900.0	0.9861	0.0	0.0139	0.0	0.0	0.0	0.0	0.0	0.0	1.489713	0.0	0.0	0.0	1.761761	0.69179448	500.0	0.0	0.0	
905.0	0.9883	0.0	0.0117	0.0	0.0	0.0	0.0	0.0	0.0	1.489697	0.0	0.0	0.0	1.732276	0.69071121	500.0	0.0	0.0	
910.0	0.9905	0.0	0.0095	0.0	0.0	0.0	0.0	0.0	0.0	1.489665	0.0	0.0	0.0	1.706743	0.68821344	500.0	0.0	0.0	
915.0	0.9873	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	1.489634	0.0	0.0	0.0	1.67722	0.68686618	500.0	0.0	0.0	
920.0	0.9893	0.0	0.0107	0.0	0.0	0.0	0.0	0.0	0.0	1.489589	0.0	0.0	0.0	1.649382	0.68539795	500.0	0.0	0.0	
925.0	0.9877	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	1.489543	0.0	0.0	0.0	1.624631	0.68310723	500.0	0.0	0.0	
930.0	0.9881	0.0	0.0119	0.0	0.0	0.0	0.0	0.0	0.0	1.489521	0.0	0.0	0.0	1.597447	0.68139923	500.0	0.0	0.0	
935.0	0.9867	0.0	0.0133	0.0	0.0	0.0	0.0	0.0	0.0	1.489506	0.0	0.0	0.0	1.571892	0.67945845	500.0	0.0	0.0	
